account_id,customer_id,branch_id,account_type,opened_date,current_balance,account_status
A000001,C01647,B00601,Salary,2024-07-30,148765.92,Active
A000002,C00684,B00101,Premium Savings,2020-07-20,171655.29,Active
A000003,C00357,B01001,Savings,2024-10-17,416561.75,Active
A000004,C01627,B00201,Current,2024-04-01,182021.02,Active
A000005,C03150,B00401,Current,2023-11-17,314745.84,Active
A000006,C03232,B00901,Savings,2023-02-01,229579.96,Active
A000007,C00393,B00201,Premium Savings,2023-01-24,422165.23,Active
A000008,C03152,B00901,Premium Savings,2023-01-24,333985.61,Active
A000009,C04081,B00101,Salary,2022-09-14,179055.3,Active
A000010,C01754,B00101,Salary,2024-03-17,116852.18,Active
A000011,C00388,B00801,Premium Savings,2024-10-28,198770.17,Active
A000012,C00012,B00201,Savings,2023-05-06,82986.25,Active
A000013,C02495,B00901,Savings,2022-12-16,122601.65,Active
A000014,C03177,B00801,Salary,2022-10-28,184180.47,Active
A000015,C02283,B00401,Savings,2022-01-15,355873.47,Active
A000016,C04060,B00601,Salary,2023-01-01,116769.72,Active
A000017,C04689,B00301,Savings,2024-02-16,267737.11,Active
A000018,C04772,B00501,Premium Savings,2022-05-23,106294.14,Active
A000019,C02426,B00901,Current,2023-01-22,204398.79,Active
A000020,C03717,B00301,Savings,2020-09-04,188705.71,Active
A000021,C02878,B01001,Current,2022-11-23,99381.22,Active
A000022,C02045,B00501,Premium Savings,2021-11-15,133658.81,Active
A000023,C03419,B00401,Salary,2021-05-25,219506.09,Active
A000024,C00156,B01001,Premium Savings,2021-04-12,249643.96,Active
A000025,C04379,B01001,Savings,2024-07-02,251295.43,Active
A000026,C02191,B00401,Salary,2020-08-18,291646.58,Active
A000027,C03693,B00301,Salary,2024-03-09,144819.94,Active
A000028,C03477,B00701,Current,2020-08-27,266468.46,Active
A000029,C03634,B00201,Salary,2020-04-06,153386.54,Active
A000030,C00292,B00201,Premium Savings,2020-08-11,293236.04,Active
A000031,C04383,B00201,Salary,2021-02-07,243059.9,Active
A000032,C04855,B00301,Salary,2021-01-09,365826.0,Active
A000033,C03447,B00701,Savings,2021-09-10,142257.31,Active
A000034,C00268,B00701,Salary,2021-07-28,138615.84,Active
A000035,C01012,B00101,Salary,2021-08-31,184891.22,Active
