customer_id,customer_name,age,gender,city,state,occupation,customer_segment,join_date
C00001,Customer 00001,65,Female,Mysuru,Karnataka,Student,Mass Affluent,2020-06-03
C00002,Customer 00002,53,Male,Kolkata,West Bengal,Salaried,Mass,2022-02-28
C00003,Customer 00003,25,Male,Noida,Uttar Pradesh,Self-Employed,Mass,2018-06-23
C00004,Customer 00004,60,Female,New Delhi,Delhi,Business,Mass,2024-01-22
C00005,Customer 00005,62,Female,Kolkata,West Bengal,Self-Employed,Mass,2018-12-29
C00006,Customer 00006,50,Male,Vijayawada,Andhra Pradesh,Business,Premium,2022-07-02
C00007,Customer 00007,32,Male,Kolkata,West Bengal,Self-Employed,Affluent,2018-11-02
C00008,Customer 00008,64,Male,Chennai,Tamil Nadu,Retired,Mass,2023-05-06
C00009,Customer 00009,33,Female,Jodhpur,Rajasthan,Retired,Mass,2022-08-05
C00010,Customer 00010,49,Female,Pune,Maharashtra,Student,Mass Affluent,2022-05-03
C00011,Customer 00011,26,Male,Mumbai,Maharashtra,Salaried,Affluent,2023-07-07
C00012,Customer 00012,57,Female,Vijayawada,Andhra Pradesh,Retired,Premium,2019-04-07
C00013,Customer 00013,61,Female,Bengaluru,Karnataka,Business,Mass Affluent,2024-09-12
C00014,Customer 00014,27,Male,Mumbai,Maharashtra,Self-Employed,Mass,2022-10-23
C00015,Customer 00015,64,Male,Ahmedabad,Gujarat,Self-Employed,Premium,2022-07-26
C00016,Customer 00016,43,Female,Bengaluru,Karnataka,Student,Premium,2025-06-24
C00017,Customer 00017,31,Male,Chennai,Tamil Nadu,Student,Affluent,2023-06-03
C00018,Customer 00018,24,Female,Warangal,Telangana,Salaried,Mass Affluent,2022-09-15
C00019,Customer 00019,46,Male,Chennai,Tamil Nadu,Self-Employed,Mass Affluent,2019-09-12
C00020,Customer 00020,37,Male,Kolkata,West Bengal,Student,Premium,2018-04-26
C00021,Customer 00021,30,Female,Coimbatore,Tamil Nadu,Student,Premium,2023-06-08
C00022,Customer 00022,40,Male,Noida,Uttar Pradesh,Retired,Premium,2021-02-04
C00023,Customer 00023,45,Male,Bengaluru,Karnataka,Business,Mass,2024-08-28
C00024,Customer 00024,58,Female,Ahmedabad,Gujarat,Student,Mass Affluent,2019-07-22
C00025,Customer 00025,27,Female,Bengaluru,Karnataka,Self-Employed,Mass,2018-04-14
C00026,Customer 00026,25,Male,Kolkata,West Bengal,Self-Employed,Mass Affluent,2021-05-30
C00027,Customer 00027,46,Female,Jodhpur,Rajasthan,Retired,Mass,2019-11-12
C00028,Customer 00028,45,Male,Bengaluru,Karnataka,Salaried,Premium,2024-10-09
C00029,Customer 00029,21,Female,Jaipur,Rajasthan,Salaried,Affluent,2022-06-18
C00030,Customer 00030,66,Male,Lucknow,Uttar Pradesh,Retired,Mass Affluent,2021-07-08
C00031,Customer 00031,45,Male,Hyderabad,Telangana,Business,Mass Affluent,2023-08-23
C00032,Customer 00032,57,Male,Jodhpur,Rajasthan,Retired,Premium,2018-09-03
C00033,Customer 00033,54,Female,Jodhpur,Rajasthan,Retired,Mass Affluent,2023-11-24
C00034,Customer 00034,25,Female,Jaipur,Rajasthan,Business,Mass,2018-09-25
C00035,Customer 00035,27,Male,Surat,Gujarat,Student,Mass,2023-08-31
C00036,Customer 00036,64,Female,Lucknow,Uttar Pradesh,Retired,Affluent,2023-10-03
C00037,Customer 00037,25,Male,New Delhi,Delhi,Salaried,Mass,2025-06-02
C00038,Customer 00038,36,Female,New Delhi,Delhi,Student,Premium,2022-10-16
C00039,Customer 00039,46,Female,Kolkata,West Bengal,Student,Mass Affluent,2020-07-22
C00040,Customer 00040,51,Male,Vijayawada,Andhra Pradesh,Business,Affluent,2024-10-12
C00041,Customer 00041,61,Female,Coimbatore,Tamil Nadu,Student,Mass,2023-08-05
C00042,Customer 00042,60,Female,New Delhi,Delhi,Salaried,Premium,2019-10-26
C00043,Customer 00043,40,Female,Ahmedabad,Gujarat,Salaried,Mass,2024-03-16
C00044,Customer 00044,54,Female,Bengaluru,Karnataka,Student,Premium,2023-03-09
C00045,Customer 00045,66,Female,Vijayawada,Andhra Pradesh,Business,Mass,2022-03-04
C00046,Customer 00046,37,Male,Lucknow,Uttar Pradesh,Business,Mass,2023-10-10
C00047,Customer 00047,64,Male,Mumbai,Maharashtra,Retired,Mass,2021-02-10
C00048,Customer 00048,46,Female,New Delhi,Delhi,Student,Affluent,2023-03-03
C00049,Customer 00049,63,Male,Noida,Uttar Pradesh,Retired,Affluent,2021-01-20
C00050,Customer 00050,34,Male,Vijayawada,Andhra Pradesh,Business,Mass Affluent,2018-03-19
C00051,Customer 00051,46,Female,Vijayawada,Andhra Pradesh,Self-Employed,Affluent,2018-02-01
C00052,Customer 00052,27,Female,Jaipur,Rajasthan,Student,Mass,2022-02-26
C00053,Customer 00053,31,Male,Warangal,Telangana,Student,Premium,2023-12-09
C00054,Customer 00054,33,Female,Warangal,Telangana,Retired,Affluent,2020-09-27
C00055,Customer 00055,22,Male,Coimbatore,Tamil Nadu,Student,Mass,2025-05-19
C00056,Customer 00056,24,Female,Chennai,Tamil Nadu,Retired,Premium,2024-01-03
C00057,Customer 00057,51,Female,Noida,Uttar Pradesh,Business,Mass,2019-09-21
C00058,Customer 00058,40,Male,Surat,Gujarat,Salaried,Mass,2020-02-03
C00059,Customer 00059,64,Male,Jaipur,Rajasthan,Business,Mass Affluent,2021-12-14
C00060,Customer 00060,23,Female,Hyderabad,Telangana,Student,Mass Affluent,2019-10-10
C00061,Customer 00061,35,Female,Hyderabad,Telangana,Business,Premium,2022-07-31
C00062,Customer 00062,67,Female,Chennai,Tamil Nadu,Business,Mass,2020-06-16
C00063,Customer 00063,67,Female,Chennai,Tamil Nadu,Retired,Premium,2025-02-05
C00064,Customer 00064,66,Female,Bengaluru,Karnataka,Student,Affluent,2019-10-26
C00065,Customer 00065,38,Male,Kolkata,West Bengal,Retired,Mass,2023-12-25
C00066,Customer 00066,40,Female,Lucknow,Uttar Pradesh,Student,Mass,2022-02-12
C00067,Customer 00067,32,Female,Warangal,Telangana,Salaried,Premium,2022-03-21
C00068,Customer 00068,55,Female,Bengaluru,Karnataka,Self-Employed,Mass,2023-10-10
C00069,Customer 00069,70,Female,Jodhpur,Rajasthan,Salaried,Mass Affluent,2020-09-09
C00070,Customer 00070,43,Female,New Delhi,Delhi,Self-Employed,Premium,2018-04-21
C00071,Customer 00071,63,Male,New Delhi,Delhi,Self-Employed,Mass,2023-12-22
C00072,Customer 00072,53,Female,Jodhpur,Rajasthan,Self-Employed,Mass,2020-09-10
C00073,Customer 00073,70,Female,New Delhi,Delhi,Self-Employed,Mass,2020-11-02
C00074,Customer 00074,45,Male,Mysuru,Karnataka,Student,Affluent,2020-12-23
C00075,Customer 00075,34,Male,Warangal,Telangana,Retired,Mass Affluent,2022-12-09
C00076,Customer 00076,67,Male,Mumbai,Maharashtra,Student,Mass,2019-08-06
C00077,Customer 00077,21,Female,New Delhi,Delhi,Student,Premium,2020-03-17
C00078,Customer 00078,67,Female,Kolkata,West Bengal,Salaried,Mass,2022-02-26
C00079,Customer 00079,42,Female,Mysuru,Karnataka,Student,Mass Affluent,2024-04-23
C00080,Customer 00080,37,Male,Kolkata,West Bengal,Business,Mass Affluent,2023-02-23
C00081,Customer 00081,59,Female,Vijayawada,Andhra Pradesh,Business,Mass,2020-10-15
C00082,Customer 00082,69,Female,Bengaluru,Karnataka,Retired,Mass,2021-04-26
C00083,Customer 00083,29,Female,Chennai,Tamil Nadu,Self-Employed,Affluent,2018-05-12
C00084,Customer 00084,21,Male,Surat,Gujarat,Business,Mass,2018-08-25
C00085,Customer 00085,24,Male,Pune,Maharashtra,Retired,Premium,2018-03-28
C00086,Customer 00086,52,Female,Coimbatore,Tamil Nadu,Salaried,Affluent,2025-02-16
C00087,Customer 00087,43,Female,Ahmedabad,Gujarat,Student,Affluent,2023-10-06
C00088,Customer 00088,49,Male,Lucknow,Uttar Pradesh,Student,Mass,2020-06-25
