loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,term_months,start_date,loan_status
L00001,C03426,B00301,Home Loan,1747334.58,11.63,24,2023-05-16,Active
L00002,C04405,B00201,Auto Loan,1661866.57,10.49,48,2025-01-05,Overdue
L00003,C01899,B00301,Education Loan,3457037.22,7.85,120,2025-02-15,Active
L00004,C00631,B00201,Education Loan,4525643.02,8.42,84,2024-10-17,Active
L00005,C01369,B00301,Personal Loan,2560963.55,14.09,60,2025-02-06,Active
L00006,C00591,B01001,Auto Loan,1151179.85,10.16,48,2024-06-10,Active
L00007,C04011,B00401,Business Loan,2361997.62,15.13,84,2024-01-28,Active
L00008,C02011,B00301,Personal Loan,71933.33,12.26,84,2024-05-01,Active
L00009,C03092,B00701,Personal Loan,531308.7,7.78,24,2024-12-21,Closed
L00010,C00139,B00701,Auto Loan,3746120.28,9.44,48,2024-04-14,Overdue
L00011,C00201,B00101,Home Loan,1648828.21,12.66,36,2025-05-03,Overdue
L00012,C03431,B00701,Personal Loan,4672040.28,8.54,36,2023-01-18,Active
L00013,C01573,B01001,Home Loan,877828.85,10.2,24,2025-01-21,Active
L00014,C00544,B01001,Education Loan,435303.98,8.81,12,2024-09-28,Active
L00015,C01614,B00101,Education Loan,1355304.6,9.14,120,2024-03-22,Active
L00016,C00072,B00401,Personal Loan,1448932.41,11.09,36,2024-08-04,Overdue
L00017,C01631,B00101,Business Loan,4364055.93,11.0,48,2023-07-16,Closed
L00018,C01750,B00901,Auto Loan,3882262.02,11.69,84,2025-07-05,Active
L00019,C03467,B00301,Education Loan,359302.06,11.12,12,2024-03-09,Active
L00020,C04231,B01001,Home Loan,708687.97,13.45,180,2025-02-23,Active
L00021,C03204,B00501,Home Loan,3185169.83,12.73,36,2025-09-21,Active
L00022,C03317,B00401,Auto Loan,2594215.3,9.12,36,2025-07-12,Closed
L00023,C01714,B00301,Education Loan,1049242.35,15.27,84,2023-04-06,Active
L00024,C04894,B00201,Personal Loan,3104028.58,7.69,48,2025-03-29,Active
L00025,C03492,B00401,Education Loan,431230.92,15.01,48,2024-02-29,Active
L00026,C02776,B00301,Business Loan,4511185.79,10.55,12,2023-04-05,Overdue
L00027,C03579,B00901,Business Loan,1991972.06,7.87,36,2023-01-26,Overdue
L00028,C02004,B00201,Education Loan,527151.78,15.44,84,2024-10-09,Closed
L00029,C01974,B00501,Education Loan,1520367.67,8.75,84,2024-05-09,Active
L00030,C01338,B00501,Education Loan,298443.13,8.69,180,2024-07-16,Active
L00031,C00952,B00201,Business Loan,4246864.92,10.62,24,2025-02-04,Overdue
L00032,C03665,B00801,Personal Loan,1490482.15,12.99,48,2024-11-15,Closed
L00033,C02130,B01001,Personal Loan,2020324.56,8.35,24,2024-05-06,Overdue
L00034,C00694,B00401,Home Loan,542201.01,9.36,48,2025-08-08,Overdue
L00035,C01267,B00501,Personal Loan,2572511.05,10.89,36,2024-05-12,Overdue
L00036,C03429,B01001,Personal Loan,999700.02,11.43,84,2024-08-06,Overdue
L00037,C00592,B00601,Personal Loan,2330564.6,11.68,48,2025-01-05,Overdue
L00038,C02027,B00901,Auto Loan,1309338.91,13.06,120,2023-07-18,Overdue
L00039,C01454,B00901,Home Loan,2390436.05,13.65,84,2023-10-06,Active
L00040,C00648,B00401,Business Loan,3099103.02,12.08,24,2025-02-03,Overdue
L00041,C03518,B00701,Home Loan,2968535.55,11.53,180,2025-04-26,Active
L00042,C02189,B00101,Business Loan,3164889.01,13.44,36,2024-07-24,Active
L00043,C02358,B01001,Personal Loan,1894234.15,12.74,180,2023-07-13,Closed
L00044,C04567,B00401,Education Loan,3346899.71,11.21,36,2024-02-14,Active
L00045,C02402,B00301,Home Loan,1088018.4,14.02,12,2023-10-22,Overdue
L00046,C03565,B00501,Auto Loan,3217315.4,7.97,36,2025-05-09,Closed
L00047,C00447,B00501,Business Loan,3761998.42,13.74,12,2025-03-28,Overdue
L00048,C00029,B01001,Personal Loan,1685509.12,8.78,60,2024-01-27,Overdue
L00049,C00967,B00601,Home Loan,2453050.9,12.12,120,2024-04-16,Active
L00050,C00587,B00301,Auto Loan,444959.19,11.87,48,2025-09-08,Active
L00051,C00848,B00201,Auto Loan,128727.39,11.57,12,2023-09-24,Closed
L00052,C03991,B00601,Education Loan,4569394.94,10.62,48,2023-08-22,Active
L00053,C03700,B00601,Home Loan,591081.91,12.45,60,2025-06-16,Closed
L00054,C02843,B00401,Home Loan,1880683.72,12.09,24,2024-10-26,Closed
L00055,C02432,B00301,Auto Loan,2863481.56,15.07,48,2023-12-26,Active
L00056,C04189,B00701,Home Loan,373418.59,12.99,24,2024-10-15,Overdue
L00057,C03402,B00301,Business Loan,3540023.14,12.38,120,2025-09-26,Active
L00058,C03646,B00601,Education Loan,1929068.22,13.94,180,2024-07-29,Active
L00059,C01182,B00701,Personal Loan,1710480.99,14.22,48,2025-02-09,Active
L00060,C03511,B00201,Business Loan,78211.92,12.1,84,2024-06-26,Closed
L00061,C03573,B00501,Education Loan,4955522.96,15.19,12,2025-03-14,Closed
L00062,C04729,B00401,Education Loan,1648403.74,14.87,84,2024-09-18,Closed
L00063,C00107,B00401,Business Loan,4002250.04,14.06,36,2025-07-05,Active
L00064,C01130,B00601,Auto Loan,4266488.19,8.3,12,2025-02-03,Active
L00065,C00603,B00501,Business Loan,4691345.38,15.3,120,2024-08-13,Active
L00066,C01747,B00201,Education Loan,95234.67,10.73,12,2025-01-19,Active
L00067,C00115,B00801,Business Loan,3117922.08,11.16,84,2024-03-06,Active
L00068,C00389,B01001,Education Loan,431497.42,13.97,12,2023-05-27,Active
L00069,C02437,B00201,Business Loan,1437921.17,12.22,120,2024-02-21,Overdue
L00070,C00797,B00101,Education Loan,4884243.16,13.26,60,2023-08-17,Active
L00071,C02186,B00301,Personal Loan,4398291.73,10.24,60,2025-04-16,Active
L00072,C04351,B00101,Business Loan,646512.78,9.01,60,2024-02-26,Active
L00073,C00585,B00201,Home Loan,4588928.51,14.15,60,2024-06-11,Active
L00074,C04277,B00301,Auto Loan,4679697.54,10.37,36,2024-01-20,Closed
L00075,C01539,B01001,Business Loan,4461314.31,7.58,120,2023-10-06,Active
L00076,C01196,B00301,Education Loan,2541877.64,12.73,12,2024-08-24,Overdue
L00077,C04552,B00201,Home Loan,373092.63,12.27,84,2024-07-17,Active
L00078,C00273,B01001,Education Loan,3266401.8,10.57,180,2023-11-25,Active
L00079,C01327,B00201,Personal Loan,1149705.96,7.86,36,2025-03-24,Overdue
L00080,C01588,B00601,Personal Loan,2272730.73,13.19,180,2024-12-06,Active
L00081,C02900,B00701,Personal Loan,445912.9,13.73,120,2024-05-07,Active
L00082,C02606,B00101,Auto Loan,2103981.36,14.12,48,2023-12-17,Active
L00083,C01827,B00501,Personal Loan,346911.63,13.24,36,2023-11-01,Overdue
L00084,C02734,B00401,Education Loan,1164920.75,15.11,24,2025-02-11,Active
L00085,C04966,B00501,Auto Loan,1999200.42,14.2,48,2024-05-05,Closed
L00086,C02262,B00701,Home Loan,4640495.92,9.25,12,2025-09-16,Overdue
L00087,C01717,B00501,Auto Loan,4290320.37,13.6,60,2025-06-18,Closed
L00088,C00348,B00401,Personal Loan,171634.59,11.45,36,2025-09-08,Active
L00089,C04047,B00301,Education Loan,2945353.83,12.33,84,2023-02-14,Active
L00090,C03334,B00901,Home Loan,3675204.18,11.28,84,2023-07-13,Active
L00091,C04044,B00601,Auto Loan,2996537.53,13.83,60,2023-05-16,Closed
L00092,C04974,B00301,Education Loan,4820751.75,10.8,36,2024-08-27,Closed
L00093,C01732,B00501,Personal Loan,1102078.24,11.82,120,2024-06-28,Active
L00094,C03252,B00601,Home Loan,907387.76,10.73,60,2024-10-23,Closed
L00095,C00005,B00101,Personal Loan,288839.35,11.47,48,2025-05-21,Active
L00096,C00910,B00501,Business Loan,1487275.99,8.53,180,2025-06-26,Active
L00097,C02971,B01001,Education Loan,4992263.46,13.15,48,2024-08-25,Overdue
L00098,C02274,B01001,Education Loan,1377945.05,12.11,84,2024-12-06,Active
L00099,C02503,B00301,Auto Loan,582941.24,13.22,60,2023-06-20,Overdue
L00100,C04999,B00701,Personal Loan,2205012.88,14.47,120,2023-10-11,Active
L00101,C02184,B00301,Auto Loan,1471713.36,8.25,60,2023-06-30,Closed
L00102,C04116,B00501,Business Loan,1246164.43,8.48,180,2024-11-12,Active
L00103,C04642,B00401,Auto Loan,4224794.62,9.42,24,2024-02-10,Closed
L00104,C01610,B00401,Auto Loan,2119482.43,14.67,24,2024-05-21,Active
L00105,C01167,B00901,Education Loan,950787.36,11.14,36,2024-11-14,Closed
L00106,C02544,B00601,Business Loan,4999620.26,13.59,120,2024-05-31,Active
L00107,C00606,B00401,Personal Loan,2988245.48,14.11,180,2023-09-01,Closed
L00108,C03389,B00601,Home Loan,4765982.1,12.67,36,2024-03-17,Active
L00109,C01832,B00601,Auto Loan,1113162.16,13.86,12,2024-10-17,Closed
L00110,C01649,B00601,Business Loan,3386759.57,13.76,36,2023-06-15,Overdue
L00111,C02174,B00101,Business Loan,1308826.98,12.18,120,2025-02-12,Active
L00112,C00871,B00301,Business Loan,2677890.43,7.54,120,2025-07-12,Active
L00113,C00561,B00501,Business Loan,685887.15,7.58,24,2024-02-22,Active
L00114,C02275,B00201,Business Loan,1199582.56,14.13,48,2025-04-24,Active
L00115,C02576,B00101,Personal Loan,2948482.18,13.76,84,2024-11-04,Active
L00116,C02219,B00101,Auto Loan,3721248.7,9.45,120,2024-06-27,Active
L00117,C01932,B00901,Personal Loan,1635671.34,10.37,36,2025-06-17,Active
L00118,C00996,B00301,Business Loan,2949058.27,13.97,60,2025-05-04,Active
L00119,C00258,B00401,Education Loan,2410297.28,12.61,36,2024-09-10,Closed
L00120,C01684,B00401,Education Loan,1857531.95,14.39,12,2024-09-21,Active
L00121,C01679,B00901,Personal Loan,4117950.45,13.23,60,2025-05-26,Closed
L00122,C04680,B00501,Personal Loan,1404468.64,12.47,180,2025-01-18,Active
L00123,C01006,B00801,Education Loan,4343818.69,13.57,36,2023-10-27,Closed
L00124,C00574,B00901,Auto Loan,2464396.14,12.98,180,2024-12-13,Active
L00125,C04950,B00901,Auto Loan,3445448.88,14.54,180,2023-03-24,Overdue
L00126,C02483,B00801,Education Loan,4052445.6,11.12,60,2023-03-20,Closed
L00127,C02368,B00401,Personal Loan,1903439.67,12.19,48,2025-03-13,Overdue
L00128,C04001,B00101,Home Loan,3079597.72,13.25,24,2024-10-27,Active
L00129,C04526,B00601,Home Loan,1819541.05,9.34,60,2024-11-19,Overdue
L00130,C02884,B00201,Auto Loan,2291668.76,10.25,60,2024-04-28,Closed
L00131,C01353,B00201,Education Loan,3696993.35,13.06,84,2023-05-24,Active
L00132,C00932,B00901,Auto Loan,3698895.48,8.22,180,2024-10-05,Active
L00133,C04558,B01001,Education Loan,343518.39,11.5,36,2023-06-12,Active
L00134,C02741,B00601,Personal Loan,2286555.21,8.53,120,2024-08-28,Closed
L00135,C01885,B00801,Home Loan,1432157.46,14.48,24,2025-05-15,Overdue
