transaction_id,account_id,transaction_date,transaction_type,transaction_amount,channel,transaction_status
T0000001,A000503,2025-06-13 14:00:00,Withdrawal,3283.44,Internet Banking,Completed
T0000002,A003984,2025-09-24 22:00:00,Withdrawal,41745.39,Branch,Completed
T0000003,A005889,2025-01-13 16:00:00,ATM Withdrawal,7180.13,Internet Banking,Completed
T0000004,A005863,2025-08-16 11:00:00,Card Payment,2270.39,Mobile App,Completed
T0000005,A001919,2025-03-08 14:00:00,Transfer,2229.46,POS,Completed
T0000006,A005163,2025-05-26 02:00:00,Deposit,16731.47,Branch,Failed
T0000007,A004614,2025-06-03 21:00:00,Deposit,4888.4,Mobile App,Completed
T0000008,A000772,2025-06-05 21:00:00,ATM Withdrawal,4624.47,Mobile App,Completed
T0000009,A003571,2025-03-20 01:00:00,Transfer,1404.01,Internet Banking,Failed
T0000010,A004388,2025-03-28 04:00:00,Withdrawal,3254.82,POS,Completed
T0000011,A002204,2025-05-22 12:00:00,Card Payment,1846.84,Mobile App,Completed
T0000012,A006454,2025-02-07 15:00:00,Deposit,2075.72,POS,Completed
T0000013,A006266,2025-12-16 09:00:00,Transfer,8090.26,ATM,Completed
T0000014,A003742,2025-12-06 12:00:00,Card Payment,3906.06,Branch,Completed
T0000015,A002263,2025-11-08 19:00:00,ATM Withdrawal,897.95,Branch,Completed
T0000016,A004045,2025-01-27 23:00:00,Transfer,44508.69,POS,Completed
T0000017,A000194,2025-06-08 05:00:00,Withdrawal,7611.23,Branch,Completed
T0000018,A000689,2025-10-09 23:00:00,Transfer,20503.98,POS,Completed
T0000019,A005608,2025-03-28 16:00:00,Transfer,2798.51,POS,Completed
T0000020,A000738,2025-04-10 05:00:00,UPI,7473.07,POS,Completed
T0000021,A000975,2025-04-13 13:00:00,Withdrawal,11343.2,Branch,Completed
T0000022,A002633,2025-12-05 07:00:00,Card Payment,3252.04,Mobile App,Failed
T0000023,A001478,2025-03-06 02:00:00,ATM Withdrawal,1658.72,Mobile App,Completed
T0000024,A004264,2025-08-09 15:00:00,Deposit,16204.63,Branch,Failed
T0000025,A006142,2025-10-21 07:00:00,UPI,5059.22,Internet Banking,Completed
T0000026,A003388,2025-10-16 03:00:00,Withdrawal,1979.49,POS,Completed
T0000027,A002521,2025-05-10 03:00:00,Withdrawal,1073.79,Internet Banking,Failed
T0000028,A003076,2025-03-24 07:00:00,ATM Withdrawal,21224.96,ATM,Failed
T0000029,A001411,2025-09-15 18:00:00,Card Payment,5701.87,Internet Banking,Completed
